,dataset,random_seed,f1_micro,f1_macro,accuracy,classification_report
0,metrics_pmd_merged.pkl,0,0.9417758369723436,0.8901362502398771,0.9417758369723436,"              precision    recall  f1-score   support

           0       0.95      0.86      0.91       300
           1       0.43      0.70      0.53        44

    accuracy                           0.84       344
   macro avg       0.69      0.78      0.72       344
weighted avg       0.89      0.84      0.86       344
"
1,whole_pmd_merged.pkl,0,0.87627365356623,0.799566835081553,0.87627365356623,"              precision    recall  f1-score   support

           0       0.98      0.82      0.89       300
           1       0.43      0.91      0.58        44

    accuracy                           0.83       344
   macro avg       0.70      0.86      0.74       344
weighted avg       0.91      0.83      0.85       344
"
2,sum_pmd_merged.pkl,0,0.9024745269286754,0.8330589003336718,0.9024745269286754,"              precision    recall  f1-score   support

           0       0.97      0.86      0.91       300
           1       0.46      0.82      0.59        44

    accuracy                           0.85       344
   macro avg       0.72      0.84      0.75       344
weighted avg       0.90      0.85      0.87       344
"
3,avg_pmd_merged.pkl,0,0.8697234352256187,0.7916762310529859,0.8697234352256187,"              precision    recall  f1-score   support

           0       0.97      0.83      0.89       300
           1       0.42      0.84      0.56        44

    accuracy                           0.83       344
   macro avg       0.69      0.83      0.73       344
weighted avg       0.90      0.83      0.85       344
"
4,metrics_pmd_merged.pkl,1,0.9374090247452693,0.8832117654035462,0.9374090247452693,"              precision    recall  f1-score   support

           0       0.97      0.89      0.93       300
           1       0.51      0.80      0.62        44

    accuracy                           0.88       344
   macro avg       0.74      0.84      0.78       344
weighted avg       0.91      0.88      0.89       344
"
5,whole_pmd_merged.pkl,1,0.8668122270742358,0.7882249494023028,0.8668122270742358,"              precision    recall  f1-score   support

           0       0.97      0.84      0.90       300
           1       0.44      0.84      0.58        44

    accuracy                           0.84       344
   macro avg       0.71      0.84      0.74       344
weighted avg       0.90      0.84      0.86       344
"
6,sum_pmd_merged.pkl,1,0.8973799126637555,0.826284146390671,0.8973799126637555,"              precision    recall  f1-score   support

           0       0.97      0.90      0.93       300
           1       0.55      0.80      0.65        44

    accuracy                           0.89       344
   macro avg       0.76      0.85      0.79       344
weighted avg       0.91      0.89      0.90       344
"
7,avg_pmd_merged.pkl,1,0.8740902474526928,0.796916957077816,0.8740902474526928,"              precision    recall  f1-score   support

           0       0.97      0.85      0.91       300
           1       0.45      0.82      0.58        44

    accuracy                           0.85       344
   macro avg       0.71      0.84      0.74       344
weighted avg       0.90      0.85      0.87       344
"
8,metrics_pmd_merged.pkl,2,0.9323144104803494,0.8748603242533897,0.9323144104803494,"              precision    recall  f1-score   support

           0       0.97      0.92      0.94       300
           1       0.60      0.77      0.67        44

    accuracy                           0.90       344
   macro avg       0.78      0.85      0.81       344
weighted avg       0.92      0.90      0.91       344
"
9,whole_pmd_merged.pkl,2,0.8435225618631732,0.7617374991027147,0.8435225618631732,"              precision    recall  f1-score   support

           0       1.00      0.86      0.92       300
           1       0.51      0.98      0.67        44

    accuracy                           0.88       344
   macro avg       0.75      0.92      0.79       344
weighted avg       0.93      0.88      0.89       344
"
10,sum_pmd_merged.pkl,2,0.895924308588064,0.8243731603302624,0.895924308588064,"              precision    recall  f1-score   support

           0       0.98      0.90      0.94       300
           1       0.57      0.89      0.70        44

    accuracy                           0.90       344
   macro avg       0.78      0.89      0.82       344
weighted avg       0.93      0.90      0.91       344
"
11,avg_pmd_merged.pkl,2,0.8500727802037845,0.7689964742752677,0.8500727802037845,"              precision    recall  f1-score   support

           0       1.00      0.86      0.93       300
           1       0.51      0.98      0.67        44

    accuracy                           0.88       344
   macro avg       0.75      0.92      0.80       344
weighted avg       0.93      0.88      0.89       344
"
12,metrics_pmd_merged.pkl,3,0.9366812227074236,0.882504887520678,0.9366812227074236,"              precision    recall  f1-score   support

           0       0.98      0.92      0.95       300
           1       0.61      0.86      0.72        44

    accuracy                           0.91       344
   macro avg       0.80      0.89      0.83       344
weighted avg       0.93      0.91      0.92       344
"
13,whole_pmd_merged.pkl,3,0.8682678311499272,0.7899464084361314,0.8682678311499272,"              precision    recall  f1-score   support

           0       0.99      0.85      0.92       300
           1       0.48      0.95      0.64        44

    accuracy                           0.86       344
   macro avg       0.74      0.90      0.78       344
weighted avg       0.93      0.86      0.88       344
"
14,sum_pmd_merged.pkl,3,0.9090247452692868,0.841974658899886,0.9090247452692868,"              precision    recall  f1-score   support

           0       0.99      0.90      0.94       300
           1       0.58      0.91      0.71        44

    accuracy                           0.90       344
   macro avg       0.78      0.91      0.83       344
weighted avg       0.93      0.90      0.91       344
"
15,avg_pmd_merged.pkl,3,0.8646288209606987,0.7856582125603865,0.8646288209606987,"              precision    recall  f1-score   support

           0       0.99      0.85      0.91       300
           1       0.48      0.93      0.63        44

    accuracy                           0.86       344
   macro avg       0.73      0.89      0.77       344
weighted avg       0.92      0.86      0.88       344
"
16,metrics_pmd_merged.pkl,4,0.9323144104803494,0.8757645494080484,0.9323144104803494,"              precision    recall  f1-score   support

           0       0.97      0.89      0.93       300
           1       0.51      0.82      0.63        44

    accuracy                           0.88       344
   macro avg       0.74      0.85      0.78       344
weighted avg       0.91      0.88      0.89       344
"
17,whole_pmd_merged.pkl,4,0.8646288209606987,0.7856582125603865,0.8646288209606987,"              precision    recall  f1-score   support

           0       0.98      0.82      0.89       300
           1       0.42      0.89      0.57        44

    accuracy                           0.83       344
   macro avg       0.70      0.85      0.73       344
weighted avg       0.91      0.83      0.85       344
"
18,sum_pmd_merged.pkl,4,0.9097525473071325,0.8429801116988922,0.9097525473071325,"              precision    recall  f1-score   support

           0       0.98      0.86      0.92       300
           1       0.49      0.89      0.63        44

    accuracy                           0.87       344
   macro avg       0.73      0.87      0.77       344
weighted avg       0.92      0.87      0.88       344
"
19,avg_pmd_merged.pkl,4,0.8595342066957787,0.7797394735814782,0.8595342066957787,"              precision    recall  f1-score   support

           0       0.98      0.84      0.90       300
           1       0.44      0.86      0.58        44

    accuracy                           0.84       344
   macro avg       0.71      0.85      0.74       344
weighted avg       0.91      0.84      0.86       344
"
