,dataset,random_seed,f1_micro,f1_macro,accuracy,classification_report
0,metrics_pmd_merged.pkl,0,0.9417758369723436,0.8901362502398771,0.9417758369723436,"              precision    recall  f1-score   support

           0       0.95      0.86      0.91       300
           1       0.43      0.70      0.53        44

    accuracy                           0.84       344
   macro avg       0.69      0.78      0.72       344
weighted avg       0.89      0.84      0.86       344
"
1,metrics_pmd_merged.pkl,1,0.9374090247452693,0.8832117654035462,0.9374090247452693,"              precision    recall  f1-score   support

           0       0.97      0.89      0.93       300
           1       0.51      0.80      0.62        44

    accuracy                           0.88       344
   macro avg       0.74      0.84      0.78       344
weighted avg       0.91      0.88      0.89       344
"
2,metrics_pmd_merged.pkl,2,0.9323144104803494,0.8748603242533897,0.9323144104803494,"              precision    recall  f1-score   support

           0       0.97      0.92      0.94       300
           1       0.60      0.77      0.67        44

    accuracy                           0.90       344
   macro avg       0.78      0.85      0.81       344
weighted avg       0.92      0.90      0.91       344
"
3,metrics_pmd_merged.pkl,3,0.9366812227074236,0.882504887520678,0.9366812227074236,"              precision    recall  f1-score   support

           0       0.98      0.92      0.95       300
           1       0.61      0.86      0.72        44

    accuracy                           0.91       344
   macro avg       0.80      0.89      0.83       344
weighted avg       0.93      0.91      0.92       344
"
4,metrics_pmd_merged.pkl,4,0.9323144104803494,0.8757645494080484,0.9323144104803494,"              precision    recall  f1-score   support

           0       0.97      0.89      0.93       300
           1       0.51      0.82      0.63        44

    accuracy                           0.88       344
   macro avg       0.74      0.85      0.78       344
weighted avg       0.91      0.88      0.89       344
"
5,metrics_pmd_merged.pkl,5,0.9337700145560408,0.8779959700829889,0.9337700145560408,"              precision    recall  f1-score   support

           0       0.95      0.87      0.91       300
           1       0.43      0.68      0.53        44

    accuracy                           0.85       344
   macro avg       0.69      0.78      0.72       344
weighted avg       0.88      0.85      0.86       344
"
6,metrics_pmd_merged.pkl,6,0.9337700145560408,0.8771028133836976,0.9337700145560408,"              precision    recall  f1-score   support

           0       0.97      0.89      0.93       300
           1       0.53      0.82      0.64        44

    accuracy                           0.88       344
   macro avg       0.75      0.86      0.79       344
weighted avg       0.91      0.88      0.89       344
"
7,metrics_pmd_merged.pkl,7,0.9381368267831149,0.883924445040774,0.9381368267831149,"              precision    recall  f1-score   support

           0       0.97      0.90      0.94       300
           1       0.55      0.84      0.67        44

    accuracy                           0.89       344
   macro avg       0.76      0.87      0.80       344
weighted avg       0.92      0.89      0.90       344
"
8,metrics_pmd_merged.pkl,8,0.9417758369723436,0.8901362502398771,0.9417758369723436,"              precision    recall  f1-score   support

           0       0.96      0.90      0.93       300
           1       0.52      0.73      0.61        44

    accuracy                           0.88       344
   macro avg       0.74      0.82      0.77       344
weighted avg       0.90      0.88      0.89       344
"
9,metrics_pmd_merged.pkl,9,0.9395924308588064,0.8866556345692265,0.9395924308588064,"              precision    recall  f1-score   support

           0       0.96      0.90      0.93       300
           1       0.52      0.73      0.60        44

    accuracy                           0.88       344
   macro avg       0.74      0.81      0.77       344
weighted avg       0.90      0.88      0.89       344
"
